created_at	username	userid	tweet_id_str	in_reply_to_user_id	text
Fri Feb 03 16:20:09 +0000 2017	Senator Deb Fischer	1071402577	827552264642498560	null	Joined my colleagues in raising awareness of @NIH_NHLBI #WearRedDay. February is #HeartMonth #GoWearRed https://t.co/6R3xs9Ls5I
Fri Feb 03 16:25:24 +0000 2017	Tammy Duckworth	1058520120	827553584300642305	null	I support public ed because I'm a product of public ed – this week I enjoyed the chance to chat w the IL Associatio… https://t.co/paOzk5AKBQ
Fri Feb 03 16:25:39 +0000 2017	Senator Bob Menendez	18695134	827553649165475840	null	Senate phones are jammed w/calls to oppose DeVos
for Education Secretary, while Republicans try to jam thru her con… https://t.co/o63D6dJFE1
Fri Feb 03 16:28:22 +0000 2017	Sen. Patrick Leahy	242836537	827554331033427968	null	READ: Klepto-dictators loot their poor nations, taking under-table $ for oil/minerals https://t.co/zqM0SpkOz6 @OxfamAmerica #Russia #BigOil
Fri Feb 03 16:32:29 +0000 2017	Sheldon Whitehouse	242555999	827555365634064385	null	.@LindseyGrahamSC and I are investigating Russia’s attempt to undermine our democracy to ensure it never succeeds. https://t.co/2clEkzuKfx
Fri Feb 03 16:32:37 +0000 2017	Tom Cotton	968650362	827555399507263492	null	The president said we were putting Iran on notice, and I'm glad to see he's as good as his word. My statement: https://t.co/QcQFeahx4o
Fri Feb 03 16:34:07 +0000 2017	Chuck Schumer	17494010	827555777888018432	null	Jobs numbers are up. AGAIN. 76th month in a row #ThanksObama. https://t.co/jHL99mBLfs
Fri Feb 03 16:38:11 +0000 2017	Sen. James Lankford	225921757	827556801176543233	null	We cannot ignore Iran’s provocation &amp; hope they won’t carry out their threats. Glad @POTUS is responding w/ action. #IranSanctions
Fri Feb 03 16:38:23 +0000 2017	Kamala Harris	30354991	827556852628062208	null	Today in 1870, the 15th Amendment was ratified, granting black men the right to vote. This was just the start in the fight for voting rights
Fri Feb 03 16:39:01 +0000 2017	Sen. Maria Cantwell	117501995	827557011592187904	null	Betsy #DeVos cannot confirm she will move public education forward and ensure all children are getting the best #education possible
Fri Feb 03 16:39:06 +0000 2017	Senator Bob Corker	73303753	827557033830387712	null	This further solidifies Tennessee as the best place in America to manufacture automobiles. My full statement:… https://t.co/0gOvkvsLJV
Fri Feb 03 16:39:22 +0000 2017	Kamala Harris	30354991	827557100670873601	30354991	Voting is fundamental to our democratic society, yet the GOP at all levels are working to deny the franchise instead of protecting the vote.
Fri Feb 03 16:39:58 +0000 2017	Kamala Harris	30354991	827557249195315200	30354991	Instead of suppressing votes we have to make it easier for everyone to vote &amp; zealously protect access to the ballot box for all Americans.
Fri Feb 03 16:40:35 +0000 2017	Kamala Harris	30354991	827557406523682816	30354991	It’s critical we expand early voting so everyone has ample opportunity to vote &amp; stop discriminatory voting laws. #BlackHistoryMonth
Fri Feb 03 16:41:46 +0000 2017	Sen. Patrick Leahy	242836537	827557703019089920	null	Senator Patrick Leahy Joins In Introducing Legisl. To Codify Membership On National Security Council https://t.co/Fkn1UM1Yki  #Bannon #NSC
Fri Feb 03 16:49:06 +0000 2017	Senator Bob Casey	171598736	827559551041929216	null	I'm concerned about @realDonaldTrump's saber rattling tweets on Iran, but sanctioning regime for ballistic tests is… https://t.co/WKPRvtrSJP
Fri Feb 03 16:49:18 +0000 2017	Sen. Jeanne Shaheen	109287731	827559598370484224	null	Illegal voting falsehoods by Trump&amp;GOP leaders are about restricting access to the ballot.My @ConMonitorNews op-ed: https://t.co/Z85wMdRvaL
Fri Feb 03 16:57:48 +0000 2017	Mark Warner	7429102	827561737004122112	null	We’re making it clear to @DeptofDefense &amp; @CIA agency heads: torture is immoral &amp; illegal. Congress will not stand… https://t.co/nFIEv4Lvc7
Fri Feb 03 16:59:37 +0000 2017	Senator Roy Blunt	21269970	827562197786230784	null	Thanks for stopping by my office yesterday, @dbarbe_md. Look forward to working with you as President of… https://t.co/veZyOGDNMg
Fri Feb 03 17:01:02 +0000 2017	Sen. Lamar Alexander	76649729	827562553697923073	null	.@SenatorBurr on Betsy DeVos’s qualifications – “qualities that we’d look for in any nominee of any president” https://t.co/oSataNgiG7
Fri Feb 03 17:02:34 +0000 2017	Senator Deb Fischer	1071402577	827562939880206336	null	The admin's new #Iran sanctions are an important step in holding the number one state sponsor of terror accountable.
Fri Feb 03 17:07:04 +0000 2017	Leader McConnell	1249982359	827564068630253569	null	#NeilGorsuch is the type of Judge who the Senate should easily confirm to #SCOTUS. Just ask some Democrats. cc:… https://t.co/uR3xh0kau2
Fri Feb 03 17:12:45 +0000 2017	Shelley Moore Capito	193794406	827565500834127872	null	Re-intro'd a bill this week that will strengthen the domestic steel industry &amp; support jobs. MORE: https://t.co/Ky8Tb8SOGy
Fri Feb 03 17:13:00 +0000 2017	Kamala Harris	30354991	827565565086670848	null	This is irresponsible. We are repeating the same mistakes that created the 2008 financial crisis. https://t.co/mqfStzb6Xu
Fri Feb 03 17:13:42 +0000 2017	Bernie Sanders	29442313	827565738055626752	null	We cannot sanction racism, sexism, homophobia and other forms of discrimination under the guise of "religious freedom."
Fri Feb 03 17:14:59 +0000 2017	Senator Ben Cardin	109071031	827566063441178624	null	America should be leading the #anticorruption fight, in the US and overseas. We should not be backing away from tra… https://t.co/twqa0b6wkU
Fri Feb 03 17:17:20 +0000 2017	Sen. James Lankford	225921757	827566654196428800	null	Attention Okies! OK Mission of Mercy is providing free dental care @ Woodward County Fairgrounds today &amp; tomorrow → https://t.co/U1ZdIoiO27
Fri Feb 03 17:18:27 +0000 2017	Chuck Schumer	17494010	827566936192057344	null	Implore @SenateGOP to take the wkend, listen to the people &amp; think about their #DeVos vote. Sometimes loyalty to PO… https://t.co/vbI6rrW2b1
Fri Feb 03 17:20:59 +0000 2017	John McCain	19394188	827567573579493381	null	I welcome @POTUS ’s decision to impose additional sanctions on #Iran - my full statement: https://t.co/FoWCEsEA7a
Fri Feb 03 17:27:40 +0000 2017	Senator Patty Murray	293131808	827569255155638273	null	The more people learn about Betsy DeVos, the more they realize how wrong she is for our students and schools.… https://t.co/b8nro0MZ1F
Fri Feb 03 17:28:21 +0000 2017	John McCain	19394188	827569427910684674	null	Deeply concerned by Romanian gov't decriminalizing graft offenses - hope gov't won't backslide in its reform efforts https://t.co/fUTxrZ2Xsl
Fri Feb 03 17:28:52 +0000 2017	Chris Murphy	150078976	827569558760325125	null	Sitting down with seniors &amp; members of @protectmyMA in #Waterbury to talk about the coming fight on healthcare
Fri Feb 03 17:29:08 +0000 2017	Chris Murphy	150078976	827569623033925640	150078976	Republicans in Congress want to privatize Medicare &amp; repeal healthcare for millions of Americans. I will fight them every step of the way.
Fri Feb 03 17:29:49 +0000 2017	Tammy Duckworth	1058520120	827569795444924416	null	Welcome back to Chicago, Dr. Al Homssi. America is great because of docs like you. #ImmigrantsWelcome #NoHateNoFear https://t.co/0QOjFdhpmX
Fri Feb 03 17:30:59 +0000 2017	Claire McCaskill	16160352	827570090614865920	null	1)Gov Greitens is a politician. 2)He is totally making up that budget shortfall due to Obamacare. MO blocked Obamacare expansion.
Fri Feb 03 17:32:35 +0000 2017	Jerry Moran	18632666	827570490311065600	null	Pushed @DeptVetAffairs nominee Dr. Shulkin this week to end VA habit of narrowing Congress' laws &amp; work with #VSOs.… https://t.co/eus9R3tglx
Fri Feb 03 17:33:39 +0000 2017	Kirsten Gillibrand	72198806	827570760038367233	null	.@AmySchumer Got your voicemail! Thanks for the call—and thanks to all NYers who gotten #offthesidelines to make calls. I've got your back.
